,Object,Close Approach Date and Time,Close Approach Time Error,Close Approach Nominal Distance LD,Close Approach Minimum Distance LD,Minimum Distance Category,Diameter Min (m),Diameter Max (m),NEO Size Category,Relative Velocity (km/s),V Infinity (km/s),Relative Velocity Category,Absolute Magnitude (mag)
0,(2022 DX2),2022,00:01,15.69,15.64,Mid-Distance,26.0,59.0,Large,12.69,12.68,Medium speed,25.0
1,(2022 DR3),2022,00:01,15.60,15.51,Mid-Distance,24.0,53.0,Large,12.42,12.42,Medium speed,25.3
2,(2018 GY),2022,00:01,11.86,11.86,Mid-Distance,32.0,71.0,Large,10.68,10.67,Medium speed,24.6
3,(2022 ES3),2022,00:04,0.87,0.86,Close,10.0,23.0,Small,18.37,18.3,Medium speed,27.1
4,(2022 EO4),2022,00:09,2.75,2.74,Far Away,22.0,49.0,Small,15.64,15.61,Medium speed,25.4
5,(2022 EA1),2022,00:01,8.06,8.03,Mid-Distance,9.9,22.0,Small,5.46,5.44,Slow,27.1
6,(2022 EK4),2022,00:08,4.74,4.71,Mid-Distance,15.0,33.0,Small,8.33,8.31,Slow,26.3
7,(2022 ED4),2022,00:11,2.06,2.04,Far Away,13.0,28.0,Small,17.01,16.98,Medium speed,26.6
8,(2022 DP3),2022,00:02,2.99,2.97,Far Away,31.0,69.0,Large,10.79,10.76,Medium speed,24.7
9,(2022 EG3),2022,00:26,13.71,13.47,Mid-Distance,6.1,14.0,Small,6.53,6.52,Slow,28.2
10,(2022 EF4),2022,00:06,6.90,6.87,Mid-Distance,18.0,41.0,Small,12.12,12.11,Medium speed,25.8
11,(2019 PH1),2022,00:01,12.27,12.27,Mid-Distance,28.0,62.0,Large,15.95,15.94,Medium speed,24.9
12,(2022 EU3),2022,00:05,14.13,14.04,Mid-Distance,10.0,23.0,Small,5.01,5.0,Slow,27.0
13,(2022 DB2),2022,00:01,10.92,10.88,Mid-Distance,39.0,87.0,Large,8.57,8.55,Slow,24.2
14,(2016 FZ12),2022,23:52,2.15,2.08,Far Away,12.0,27.0,Small,8.31,8.25,Slow,26.7
15,(2022 DX),2022,00:08,8.51,8.48,Mid-Distance,6.1,14.0,Small,1.46,1.38,Slow,28.2
16,(2022 EE4),2022,00:28,17.97,17.66,Mid-Distance,25.0,56.0,Large,16.88,16.87,Medium speed,25.1
17,(2022 DG3),2022,00:02,18.23,17.99,Mid-Distance,28.0,63.0,Large,7.18,7.17,Slow,24.9
18,(2020 SQ),2022,04:02,2.78,2.24,Far Away,9.1,20.0,Small,6.02,5.95,Slow,27.3
19,(2022 EA5),2022,00:13,14.82,14.72,Mid-Distance,14.0,31.0,Small,7.99,7.98,Slow,26.4
20,(2013 BO76),2022,00:01,13.30,13.30,Mid-Distance,200.0,450.0,Large,13.75,13.75,Medium speed,20.6
21,(2011 GE3),2022,10:51,7.60,5.81,Mid-Distance,17.0,38.0,Small,7.04,7.02,Slow,26.0
22,(2012 FX35),2022,01:32,13.60,6.68,Mid-Distance,18.0,41.0,Small,5.87,5.85,Slow,25.8
23,(2010 GD35),2022,00:01,17.61,17.61,Mid-Distance,32.0,71.0,Large,12.51,12.51,Medium speed,24.6
24,(2020 FW5),2022,04:07,8.91,8.16,Mid-Distance,20.0,45.0,Small,13.14,13.13,Medium speed,25.6
25,(2022 EK1),2022,00:06,18.96,18.82,Mid-Distance,32.0,71.0,Large,7.56,7.55,Slow,24.6
26,(2022 DX4),2022,00:19,16.61,16.51,Mid-Distance,31.0,68.0,Large,5.97,5.96,Slow,24.7
27,(2007 FF1),2022,00:01,19.31,19.31,Mid-Distance,120.0,260.0,Large,12.83,12.83,Medium speed,21.8
28,(2021 GN1),2022,05:04,14.34,12.79,Mid-Distance,14.0,31.0,Small,14.28,14.28,Medium speed,26.4
29,(2016 GW221),2022,00:01,9.72,9.72,Mid-Distance,31.0,68.0,Large,5.93,5.91,Slow,24.7
30,(2022 EN2),2022,00:43,18.64,18.38,Mid-Distance,31.0,69.0,Large,5.64,5.63,Slow,24.7
31,(2012 TV),2022,07:57,19.14,0.70,Close,24.0,54.0,Large,18.13,18.12,Medium speed,25.2
32,(2020 GH1),2022,14:06,16.73,5.02,Mid-Distance,21.0,47.0,Small,7.23,7.22,Slow,25.5
33,(2017 TO2),2022,04:15,17.82,9.47,Mid-Distance,58.0,130.0,Large,11.62,11.62,Medium speed,23.3
34,363599 (2004 FG11),2022,00:01,19.23,19.23,Mid-Distance,152.0,3.0,Small,24.5,24.5,Fast,21.0
35,(2020 TQ6),2022,08:35,13.31,10.10,Mid-Distance,32.0,71.0,Large,15.38,15.38,Medium speed,24.6
36,(2017 UR2),2022,04:50,19.38,12.24,Mid-Distance,7.7,17.0,Small,9.32,9.31,Slow,27.7
37,(2020 VN1),2022,00:01,19.25,19.25,Mid-Distance,7.0,16.0,Small,2.34,2.32,Slow,27.9
38,418135 (2008 AG33),2022,00:01,8.43,8.43,Mid-Distance,330.0,740.0,Large,10.39,10.38,Medium speed,19.5
39,(2017 XO2),2022,00:01,18.78,18.77,Mid-Distance,88.0,200.0,Large,12.43,12.42,Medium speed,22.4
40,(2017 HG1),2022,12:39,18.10,16.55,Mid-Distance,8.4,19.0,Small,6.0,5.99,Slow,27.5
41,467460 (2006 JF42),2022,00:01,14.86,14.86,Mid-Distance,380.0,860.0,Large,11.31,11.3,Medium speed,19.2
42,(2019 JE),2022,06:52,4.91,4.77,Mid-Distance,15.0,34.0,Small,7.22,7.19,Slow,26.2
43,(2012 UX68),2022,22:16,2.74,2.28,Far Away,40.0,90.0,Large,8.2,8.15,Slow,24.1
44,388945 (2008 TZ3),2022,00:01,14.94,14.94,Mid-Distance,220.0,480.0,Large,8.22,8.21,Slow,20.5
45,(2013 UX),2022,05:07,16.74,13.99,Mid-Distance,110.0,240.0,Large,16.31,16.31,Medium speed,22.0
46,(2021 WY),2022,02:19,16.86,16.68,Mid-Distance,49.0,110.0,Large,9.04,9.04,Slow,23.7
47,7335 (1989 JA),2022,00:01,10.47,10.47,Mid-Distance,1800.0,1800.0,Large,13.12,13.11,Medium speed,17.5
48,(2021 KO2),2022,03:42,3.08,1.23,Far Away,6.6,15.0,Small,14.75,14.73,Medium speed,28.0
49,(2020 DA4),2022,02:34,5.46,5.44,Mid-Distance,19.0,43.0,Small,8.93,8.91,Slow,25.7
50,(2021 GT2),2022,00:48,9.44,9.35,Mid-Distance,37.0,83.0,Large,7.51,7.5,Slow,24.3
51,(2018 LU2),2022,07:18,14.73,7.50,Mid-Distance,12.0,26.0,Small,10.73,10.72,Medium speed,26.8
52,(2006 XW4),2022,01:25,5.85,2.45,Far Away,37.0,82.0,Large,7.27,7.25,Slow,24.3
53,(2015 WP2),2022,22:31,18.42,6.56,Mid-Distance,2.5,5.7,Small,11.35,11.35,Medium speed,30.1
54,(2015 OQ21),2022,00:21,18.26,18.25,Mid-Distance,7.0,16.0,Small,6.57,6.56,Slow,27.9
55,(2021 OT),2022,01:16,16.43,15.26,Mid-Distance,15.0,34.0,Small,11.25,11.24,Medium speed,26.2
56,349068 (2006 YT13),2022,00:01,17.58,17.58,Mid-Distance,496.0,129.0,Large,22.94,22.94,Fast,18.3
57,(2017 RX2),2022,02:27,17.11,13.84,Mid-Distance,14.0,31.0,Small,14.21,14.21,Medium speed,26.4
58,(2016 CZ31),2022,20:27,7.00,6.97,Mid-Distance,97.0,220.0,Large,15.58,15.57,Medium speed,22.2
59,531944 (2013 CU83),2022,00:03,18.10,18.09,Mid-Distance,140.0,310.0,Large,5.88,5.87,Slow,21.4
60,(2020 PP1),2022,00:01,13.07,13.07,Mid-Distance,13.0,28.0,Small,3.72,3.69,Slow,26.6
61,(2020 PN1),2022,00:01,9.67,9.67,Mid-Distance,21.0,48.0,Small,4.61,4.59,Slow,25.5
62,(2015 FF),2022,01:41,11.14,10.45,Mid-Distance,13.0,28.0,Small,9.17,9.16,Slow,26.6
63,(2019 AV13),2022,21:16,19.07,14.50,Mid-Distance,100.0,230.0,Large,8.84,8.84,Slow,22.1
64,(2020 QW3),2022,22:13,14.03,6.23,Mid-Distance,22.0,49.0,Small,18.07,18.07,Medium speed,25.4
65,(2015 QH3),2022,23:34,5.60,5.15,Mid-Distance,11.0,24.0,Small,7.0,6.98,Slow,27.0
66,(2017 BU),2022,00:02,15.75,15.75,Mid-Distance,24.0,54.0,Large,7.0,6.99,Slow,25.2
67,(2021 CQ5),2022,02:09,8.71,8.34,Mid-Distance,5.1,11.0,Small,13.55,13.54,Medium speed,28.6
68,(2016 HF2),2022,10:48,19.10,18.69,Mid-Distance,16.0,36.0,Small,5.55,5.54,Slow,26.1
69,(2018 ER1),2022,01:20,14.68,14.54,Mid-Distance,20.0,45.0,Small,4.03,4.01,Slow,25.6
